"TIA","Albania","AV INTERNATIONAL-A/AV INTERNATIONAL/","1","3.35834","**Perflight Fees are not included.  HOOK-UP FEE: 10** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Hours of Operation: From 07:00 to 23:00 Monday to Sunday (Except holidays) & On call 24 /7 2) Ramps serviced: All ramps. 3) Additional Information: Below fees may apply: Refuelling outside Operating schedule time Refuelling on Official Bank Holiday Refuelling below 1.000 Liter No fuel charge (In case no refuel outside operating hours request or in case the operators goes underwing to the operator request) Refuelling with passengers during embarking, disembarking, on board. Excise and Carbon Tax VAT for Domestic flights. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"LBE","United States","VEE NEAL AVIATION-A/PHILLIPS 66 COMPANY/TRUCK","1","4.67589"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:None during normal business hours, 24 hour notice for after hours 2) Ramps serviced: Own Ramp 3) Additional Information: AKA Laurel Highlands Jet Center -FS Jet-A, 100LL FS & SS available 4) Operating Hours: 0600 - 22:00L - After hours please call FBO for details For more information please contact your local fuel logistics team on fuel24@wfscorp.com","09-Dec-25"
"LBF","United States","TREGO AVIATION-A/PHILLIPS 66 COMPANY/","1","4.53368"," **Price for fuel item: JET FUEL**","1) Operating Hours: 0600 - 2200 LCL 7 Days. 2) )Minimum Notice Required: None 3) Additional Information: UNICOM 123.0 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","09-Dec-25"
"LBF","United States","TREGO AVIATION-A/PHILLIPS 66 COMPANY/","501","4.46368"," **Price for fuel item: JET FUEL**","1) Operating Hours: 0600 - 2200 LCL 7 Days. 2) )Minimum Notice Required: None 3) Additional Information: UNICOM 123.0 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","09-Dec-25"
"LBF","United States","TREGO AVIATION-A/PHILLIPS 66 COMPANY/","1001","4.23368"," **Price for fuel item: JET FUEL**","1) Operating Hours: 0600 - 2200 LCL 7 Days. 2) )Minimum Notice Required: None 3) Additional Information: UNICOM 123.0 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","09-Dec-25"
"LBF","United States","TREGO AVIATION-A/PHILLIPS 66 COMPANY/","2001","4.03368"," **Price for fuel item: JET FUEL**","1) Operating Hours: 0600 - 2200 LCL 7 Days. 2) )Minimum Notice Required: None 3) Additional Information: UNICOM 123.0 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","09-Dec-25"
"LBL","United States","LYDDON AERO CENTER-A/PHILLIPS 66 COMPANY/","1","4.36384"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 1 hour in advance 2) Ramps serviced: FBO Ramp ONLY 3) Additional Information: Jet-A, 100LL FS available UNICOM 122.80 4) Operating Hours: Monday-Sat 0600-2200L / Sunday 0700-22:00L // After Hours Services: Please call FBO for details For more information please contact your local fuel logistics team on fuel24@wfscorp.com","09-Dec-25"
"LBL","United States","LYDDON AERO CENTER-A/PHILLIPS 66 COMPANY/","501","4.19996"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 1 hour in advance 2) Ramps serviced: FBO Ramp ONLY 3) Additional Information: Jet-A, 100LL FS available UNICOM 122.80 4) Operating Hours: Monday-Sat 0600-2200L / Sunday 0700-22:00L // After Hours Services: Please call FBO for details For more information please contact your local fuel logistics team on fuel24@wfscorp.com","09-Dec-25"
"LBL","United States","LYDDON AERO CENTER-A/PHILLIPS 66 COMPANY/","1001","4.14534"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 1 hour in advance 2) Ramps serviced: FBO Ramp ONLY 3) Additional Information: Jet-A, 100LL FS available UNICOM 122.80 4) Operating Hours: Monday-Sat 0600-2200L / Sunday 0700-22:00L // After Hours Services: Please call FBO for details For more information please contact your local fuel logistics team on fuel24@wfscorp.com","09-Dec-25"
"LBL","United States","LYDDON AERO CENTER-A/PHILLIPS 66 COMPANY/","1501","4.09071"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 1 hour in advance 2) Ramps serviced: FBO Ramp ONLY 3) Additional Information: Jet-A, 100LL FS available UNICOM 122.80 4) Operating Hours: Monday-Sat 0600-2200L / Sunday 0700-22:00L // After Hours Services: Please call FBO for details For more information please contact your local fuel logistics team on fuel24@wfscorp.com","09-Dec-25"
"LBL","United States","LYDDON AERO CENTER-A/PHILLIPS 66 COMPANY/","2001","3.87221"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 1 hour in advance 2) Ramps serviced: FBO Ramp ONLY 3) Additional Information: Jet-A, 100LL FS available UNICOM 122.80 4) Operating Hours: Monday-Sat 0600-2200L / Sunday 0700-22:00L // After Hours Services: Please call FBO for details For more information please contact your local fuel logistics team on fuel24@wfscorp.com","09-Dec-25"
"LBO","United States","CITY OF LEBANON AVIATION-A/AVFUEL CORP/","1","4.53308"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:NONE 2) Ramps serviced: EVERYWHERE ON THE AIRFIELD 3) Additional Information: UNICOM 122.8 4) Operating Hours: 0800 - 1700 Everyday for more information please contact your local fuel logistics team on fuel24@wfscorp.com","09-Dec-25"
"LCH","United States","FREEMAN HOLDINGS-A/AVFUEL CORP/","1","5.95223"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:No 2) Ramps serviced: All Ramps to include the AAR Facility 3) Additional Information: UNICOM 122.95 4) Operating Hours: 0500 - 2200 lcl......After Hours is available for more information please contact your local fuel logistics team on fuel24@wfscorp.com .","09-Dec-25"
"LCH","United States","FREEMAN HOLDINGS-A/AVFUEL CORP/","176","5.89973"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:No 2) Ramps serviced: All Ramps to include the AAR Facility 3) Additional Information: UNICOM 122.95 4) Operating Hours: 0500 - 2200 lcl......After Hours is available for more information please contact your local fuel logistics team on fuel24@wfscorp.com .","09-Dec-25"
"LCH","United States","FREEMAN HOLDINGS-A/AVFUEL CORP/","476","5.79473"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:No 2) Ramps serviced: All Ramps to include the AAR Facility 3) Additional Information: UNICOM 122.95 4) Operating Hours: 0500 - 2200 lcl......After Hours is available for more information please contact your local fuel logistics team on fuel24@wfscorp.com .","09-Dec-25"
"LCH","United States","FREEMAN HOLDINGS-A/AVFUEL CORP/","1126","5.74223"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:No 2) Ramps serviced: All Ramps to include the AAR Facility 3) Additional Information: UNICOM 122.95 4) Operating Hours: 0500 - 2200 lcl......After Hours is available for more information please contact your local fuel logistics team on fuel24@wfscorp.com .","09-Dec-25"
"LCH","United States","FREEMAN HOLDINGS-A/AVFUEL CORP/","2176","5.68973"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:No 2) Ramps serviced: All Ramps to include the AAR Facility 3) Additional Information: UNICOM 122.95 4) Operating Hours: 0500 - 2200 lcl......After Hours is available for more information please contact your local fuel logistics team on fuel24@wfscorp.com .","09-Dec-25"
"LCI","United States","EMERSON AVIATION-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/","1","4.54958"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: After Hours = 12 Hr notice 2) Ramps serviced: ALL Ramps 3) Additional Information: Jet-A and 100LL available.UNICOM 123.0 4) Operating Hours: Summer hours 0700 to 1900L - Winter hours 0730 to 1800L - Available before and after hours with prior arrangements. - After hour fees will apply For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LCI","United States","SKY BRIGHT-A/SBI AIRCRAFT SERVICES LACONIA LLC DBA SKY BRIGHT/","1","4.52375"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:No 2) Ramps serviced: FBO Ramp.....up to Global Express on FBO Ramp 3) Additional Information: UNICOM 122.85 4) Operating Hours: 0700 to 1900 daily, 24 hours on request. Winter hours 0730 - 1800......After Hrs Fees will apply for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LCI","United States","SKY BRIGHT-A/SBI AIRCRAFT SERVICES LACONIA LLC DBA SKY BRIGHT/","301","4.47375"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:No 2) Ramps serviced: FBO Ramp.....up to Global Express on FBO Ramp 3) Additional Information: UNICOM 122.85 4) Operating Hours: 0700 to 1900 daily, 24 hours on request. Winter hours 0730 - 1800......After Hrs Fees will apply for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LCI","United States","SKY BRIGHT-A/SBI AIRCRAFT SERVICES LACONIA LLC DBA SKY BRIGHT/","501","4.37375"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:No 2) Ramps serviced: FBO Ramp.....up to Global Express on FBO Ramp 3) Additional Information: UNICOM 122.85 4) Operating Hours: 0700 to 1900 daily, 24 hours on request. Winter hours 0730 - 1800......After Hrs Fees will apply for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LCI","United States","SKY BRIGHT-A/SBI AIRCRAFT SERVICES LACONIA LLC DBA SKY BRIGHT/","751","4.27375"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:No 2) Ramps serviced: FBO Ramp.....up to Global Express on FBO Ramp 3) Additional Information: UNICOM 122.85 4) Operating Hours: 0700 to 1900 daily, 24 hours on request. Winter hours 0730 - 1800......After Hrs Fees will apply for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LCI","United States","SKY BRIGHT-A/SBI AIRCRAFT SERVICES LACONIA LLC DBA SKY BRIGHT/","1201","4.17375"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:No 2) Ramps serviced: FBO Ramp.....up to Global Express on FBO Ramp 3) Additional Information: UNICOM 122.85 4) Operating Hours: 0700 to 1900 daily, 24 hours on request. Winter hours 0730 - 1800......After Hrs Fees will apply for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LCK","United States","RICKENBACKER AVIATION-A/AVFUEL CORP/","1","5.75275"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: ALL Ramps 3) Additional Information: Jet-A and 100LL available. - UNICOM 122.95 4) Operating Hours: 24/7 Mon-Fri 5am-1am, Sat-Sun 6am-2200L For after hours services please contact FBo for details For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LCK","United States","RICKENBACKER AVIATION-A/AVFUEL CORP/","501","5.48275"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: ALL Ramps 3) Additional Information: Jet-A and 100LL available. - UNICOM 122.95 4) Operating Hours: 24/7 Mon-Fri 5am-1am, Sat-Sun 6am-2200L For after hours services please contact FBo for details For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LCK","United States","RICKENBACKER AVIATION-A/AVFUEL CORP/","1001","5.21275"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: ALL Ramps 3) Additional Information: Jet-A and 100LL available. - UNICOM 122.95 4) Operating Hours: 24/7 Mon-Fri 5am-1am, Sat-Sun 6am-2200L For after hours services please contact FBo for details For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LCK","United States","RICKENBACKER AVIATION-A/AVFUEL CORP/","1501","4.94275"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: ALL Ramps 3) Additional Information: Jet-A and 100LL available. - UNICOM 122.95 4) Operating Hours: 24/7 Mon-Fri 5am-1am, Sat-Sun 6am-2200L For after hours services please contact FBo for details For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LCK","United States","RICKENBACKER AVIATION-A/AVFUEL CORP/","2001","4.40275"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: ALL Ramps 3) Additional Information: Jet-A and 100LL available. - UNICOM 122.95 4) Operating Hours: 24/7 Mon-Fri 5am-1am, Sat-Sun 6am-2200L For after hours services please contact FBo for details For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LCQ","United States","LAKE CITY GATEWAY FBO-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/","1","5.26003"," **Price for fuel item: JETA-ADDITIVE**","1) Minimum Notice Required:None 2) Ramps serviced:All ramps 3) Additional Information: Hours of Operation: 0800 to 1800 for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LEB","United States","GRANITE AIR CENTER LLC-A/GRANITE AIR CENTER LLC/","1","8.2195"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:None 2) Ramps serviced: 3) Additional Information: Avgas and Jet fuel available 4/9/2024 for more information please contact your local fuel logistics team on fuel24@wfscorp.com","09-Dec-25"
"LEB","United States","GRANITE AIR CENTER LLC-A/GRANITE AIR CENTER LLC/","300","8.1165"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:None 2) Ramps serviced: 3) Additional Information: Avgas and Jet fuel available 4/9/2024 for more information please contact your local fuel logistics team on fuel24@wfscorp.com","09-Dec-25"
"LEB","United States","GRANITE AIR CENTER LLC-A/GRANITE AIR CENTER LLC/","500","8.0135"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:None 2) Ramps serviced: 3) Additional Information: Avgas and Jet fuel available 4/9/2024 for more information please contact your local fuel logistics team on fuel24@wfscorp.com","09-Dec-25"
"LEB","United States","GRANITE AIR CENTER LLC-A/GRANITE AIR CENTER LLC/","1000","7.962"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:None 2) Ramps serviced: 3) Additional Information: Avgas and Jet fuel available 4/9/2024 for more information please contact your local fuel logistics team on fuel24@wfscorp.com","09-Dec-25"
"LEE","United States","SUNAIR AVIATION INC-A/SUNAIR AVIATION INC/","1","6.12515"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:None 2) Ramps serviced:EVERYWHERE ON THE AIRFIELD 3) Additional Information: Hours of Operation: 0700 to 1900 daily.. Self Service is available for AVGAS only for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LEE","United States","SUNAIR AVIATION INC-A/SUNAIR AVIATION INC/","501","5.72515"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:None 2) Ramps serviced:EVERYWHERE ON THE AIRFIELD 3) Additional Information: Hours of Operation: 0700 to 1900 daily.. Self Service is available for AVGAS only for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LEE","United States","SUNAIR AVIATION INC-A/SUNAIR AVIATION INC/","1001","5.26515"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:None 2) Ramps serviced:EVERYWHERE ON THE AIRFIELD 3) Additional Information: Hours of Operation: 0700 to 1900 daily.. Self Service is available for AVGAS only for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LEE","United States","SUNAIR AVIATION INC-A/SUNAIR AVIATION INC/","1501","5.02515"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:None 2) Ramps serviced:EVERYWHERE ON THE AIRFIELD 3) Additional Information: Hours of Operation: 0700 to 1900 daily.. Self Service is available for AVGAS only for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LEE","United States","SUNAIR AVIATION INC-A/SUNAIR AVIATION INC/","2001","4.80515"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:None 2) Ramps serviced:EVERYWHERE ON THE AIRFIELD 3) Additional Information: Hours of Operation: 0700 to 1900 daily.. Self Service is available for AVGAS only for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LEW","United States","AUBURN LEWISTON AIR CENTER-A/AVFUEL CORP/","1","5.63186"," **Price for fuel item: JET FUEL**","N/A","15-Dec-25"
"LEW","United States","AUBURN LEWISTON AIR CENTER-A/AVFUEL CORP/","501","5.56186"," **Price for fuel item: JET FUEL**","N/A","15-Dec-25"
"LEW","United States","AUBURN LEWISTON AIR CENTER-A/AVFUEL CORP/","1001","5.46186"," **Price for fuel item: JET FUEL**","N/A","15-Dec-25"
"LEX","United States","SIGNATURE FLIGHT SUPPORT-A/TRUMAN ARNOLD COMPANIES/","1","7.33895"," **Price for fuel item: JET FUEL**","FORMERLY KNOWN AS TAC AIR 1) Minimum Notice Required: for larger operation, if possible 2) Ramps serviced: Own Ramp 3) Additional Information: Jet-A, PRIST & 100LL/ 4) Operating Hours: 24 hours a day For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-Dec-25"
"LEX","United States","SIGNATURE FLIGHT SUPPORT-A/TRUMAN ARNOLD COMPANIES/","301","7.23295"," **Price for fuel item: JET FUEL**","FORMERLY KNOWN AS TAC AIR 1) Minimum Notice Required: for larger operation, if possible 2) Ramps serviced: Own Ramp 3) Additional Information: Jet-A, PRIST & 100LL/ 4) Operating Hours: 24 hours a day For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-Dec-25"
"LEX","United States","SIGNATURE FLIGHT SUPPORT-A/TRUMAN ARNOLD COMPANIES/","1201","6.99975"," **Price for fuel item: JET FUEL**","FORMERLY KNOWN AS TAC AIR 1) Minimum Notice Required: for larger operation, if possible 2) Ramps serviced: Own Ramp 3) Additional Information: Jet-A, PRIST & 100LL/ 4) Operating Hours: 24 hours a day For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-Dec-25"
"LEX","United States","SIGNATURE FLIGHT SUPPORT-A/TRUMAN ARNOLD COMPANIES/","5001","6.89375"," **Price for fuel item: JET FUEL**","FORMERLY KNOWN AS TAC AIR 1) Minimum Notice Required: for larger operation, if possible 2) Ramps serviced: Own Ramp 3) Additional Information: Jet-A, PRIST & 100LL/ 4) Operating Hours: 24 hours a day For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-Dec-25"
"LEX","United States","SIGNATURE FLIGHT SUPPORT-A/TRUMAN ARNOLD COMPANIES/","10001","6.78775"," **Price for fuel item: JET FUEL**","FORMERLY KNOWN AS TAC AIR 1) Minimum Notice Required: for larger operation, if possible 2) Ramps serviced: Own Ramp 3) Additional Information: Jet-A, PRIST & 100LL/ 4) Operating Hours: 24 hours a day For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-Dec-25"
"LFT","United States","SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/TRUCK","1","7.63149"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp 3) Additional Information: Jet-A, 100LL and Prist available // UNICOM: 122.95 4) Operating Hours: 24/7 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-Dec-25"
"LFT","United States","SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/TRUCK","301","7.44249"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp 3) Additional Information: Jet-A, 100LL and Prist available // UNICOM: 122.95 4) Operating Hours: 24/7 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-Dec-25"
"LFT","United States","SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/TRUCK","1201","7.12749"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required: None 2) Ramps serviced: Own ramp 3) Additional Information: Jet-A, 100LL and Prist available // UNICOM: 122.95 4) Operating Hours: 24/7 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-Dec-25"
"LGA","United States","MODERN AVIATION-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/","1","9.66382"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:1 hour in advance 2) Ramps serviced: Own Ramp 3) Additional Information: Jet-A, Prist and 100LL available, call FBO for pricing. Unicom 129.70 4) Operating Hours: 24 hours a day For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LGA","United States","MODERN AVIATION-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/","301","9.6226"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:1 hour in advance 2) Ramps serviced: Own Ramp 3) Additional Information: Jet-A, Prist and 100LL available, call FBO for pricing. Unicom 129.70 4) Operating Hours: 24 hours a day For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LGA","United States","MODERN AVIATION-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/","601","9.5726"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:1 hour in advance 2) Ramps serviced: Own Ramp 3) Additional Information: Jet-A, Prist and 100LL available, call FBO for pricing. Unicom 129.70 4) Operating Hours: 24 hours a day For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LGA","United States","MODERN AVIATION-A/EASTERN AVIATION FUELS INC DBA TITAN AVIATION FUELS/","1001","9.5226"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:1 hour in advance 2) Ramps serviced: Own Ramp 3) Additional Information: Jet-A, Prist and 100LL available, call FBO for pricing. Unicom 129.70 4) Operating Hours: 24 hours a day For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LGB","United States","ATLANTIC AVIATION-A/WORLD FUEL SERVICES INC/TRUCK","1","6.81962"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:N/A 2) Ramps serviced: OWN 3) Additional Information: Operation hours 24 hours a day/7 days a week //UNICOM: 130.6 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"LGB","United States","ATLANTIC AVIATION-A/WORLD FUEL SERVICES INC/TRUCK","201","6.64962"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:N/A 2) Ramps serviced: OWN 3) Additional Information: Operation hours 24 hours a day/7 days a week //UNICOM: 130.6 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"LGB","United States","ATLANTIC AVIATION-A/WORLD FUEL SERVICES INC/TRUCK","401","6.48962"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:N/A 2) Ramps serviced: OWN 3) Additional Information: Operation hours 24 hours a day/7 days a week //UNICOM: 130.6 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"LGB","United States","ATLANTIC AVIATION-A/WORLD FUEL SERVICES INC/TRUCK","601","6.31962"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:N/A 2) Ramps serviced: OWN 3) Additional Information: Operation hours 24 hours a day/7 days a week //UNICOM: 130.6 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"LGB","United States","ATLANTIC AVIATION-A/WORLD FUEL SERVICES INC/TRUCK","801","6.14962"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:N/A 2) Ramps serviced: OWN 3) Additional Information: Operation hours 24 hours a day/7 days a week //UNICOM: 130.6 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"LGB","United States","ATLANTIC AVIATION-A/WORLD FUEL SERVICES INC/TRUCK","1001","5.97962"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:N/A 2) Ramps serviced: OWN 3) Additional Information: Operation hours 24 hours a day/7 days a week //UNICOM: 130.6 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"LGB","United States","ATLANTIC AVIATION-A/WORLD FUEL SERVICES INC/TRUCK","2501","5.42962"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:N/A 2) Ramps serviced: OWN 3) Additional Information: Operation hours 24 hours a day/7 days a week //UNICOM: 130.6 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"LGB","United States","ATLANTIC AVIATION-A/WORLD FUEL SERVICES INC/TRUCK","5001","4.87962"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:N/A 2) Ramps serviced: OWN 3) Additional Information: Operation hours 24 hours a day/7 days a week //UNICOM: 130.6 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"LGB","United States","ATLANTIC AVIATION-A/WORLD FUEL SERVICES INC/TRUCK","7501","4.32962"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:N/A 2) Ramps serviced: OWN 3) Additional Information: Operation hours 24 hours a day/7 days a week //UNICOM: 130.6 For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"LGB","United States","SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/TRUCK","1","5.68273"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:N 2) Ramps serviced: FBO Ramp, Terminal & Cargo Ramps 3) Additional Information: Hours:24/7 UNICOM 130.6 4) Operating Hours: 24/7 for more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-Dec-25"
"LGB","United States","SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/TRUCK","301","5.48273"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:N 2) Ramps serviced: FBO Ramp, Terminal & Cargo Ramps 3) Additional Information: Hours:24/7 UNICOM 130.6 4) Operating Hours: 24/7 for more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-Dec-25"
"LGB","United States","SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT/TRUCK","1201","5.26273"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:N 2) Ramps serviced: FBO Ramp, Terminal & Cargo Ramps 3) Additional Information: Hours:24/7 UNICOM 130.6 4) Operating Hours: 24/7 for more information please contact your local fuel logistics team on fuel24@wfscorp.com","16-Dec-25"
"LGU","United States","LEADING EDGE AVIATION-A/AVFUEL CORP/","1","5.59354"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:1 hour prior to close 2) Ramps serviced:All Ramps 3) Additional Information: UNICOM 122.8......// 4) Operating Hours: 0700 - 2000 Monday-Saturday and 0900 - 1700 Sundays (subject to change during winter hours) 5) Fuel available outside Operating Hours Y/N: - Yes, WITH CALL OUT FEE, CALL FOR FEES for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LGU","United States","LEADING EDGE AVIATION-A/AVFUEL CORP/","201","5.44354"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:1 hour prior to close 2) Ramps serviced:All Ramps 3) Additional Information: UNICOM 122.8......// 4) Operating Hours: 0700 - 2000 Monday-Saturday and 0900 - 1700 Sundays (subject to change during winter hours) 5) Fuel available outside Operating Hours Y/N: - Yes, WITH CALL OUT FEE, CALL FOR FEES for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LGU","United States","LEADING EDGE AVIATION-A/AVFUEL CORP/","501","5.34354"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:1 hour prior to close 2) Ramps serviced:All Ramps 3) Additional Information: UNICOM 122.8......// 4) Operating Hours: 0700 - 2000 Monday-Saturday and 0900 - 1700 Sundays (subject to change during winter hours) 5) Fuel available outside Operating Hours Y/N: - Yes, WITH CALL OUT FEE, CALL FOR FEES for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LGU","United States","LEADING EDGE AVIATION-A/AVFUEL CORP/","1001","5.19354"," **Price for fuel item: JET FUEL**","1) Minimum Notice Required:1 hour prior to close 2) Ramps serviced:All Ramps 3) Additional Information: UNICOM 122.8......// 4) Operating Hours: 0700 - 2000 Monday-Saturday and 0900 - 1700 Sundays (subject to change during winter hours) 5) Fuel available outside Operating Hours Y/N: - Yes, WITH CALL OUT FEE, CALL FOR FEES for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LIH","United States","ATLANTIC AVIATION-A/AIR SERVICE HAWAII INC DBA ATLANTIC AVIATION KAUAI/","1","6.8253"," **Price for fuel item: JET FUEL**","N/A","16-Dec-25"
